homopolymer_size,transitions,transversions,insertions,deletions
3,0.022688100744276365,0.014314760995308762,0.013821363080556209,0.057961078146805914
4,0.020330982149727072,0.014991571767929838,0.011912048206721797,0.07741236168138103
5,0.015812157145137343,0.014409837337160003,0.008280058066967376,0.09541462589892358
6,0.011766242201810379,0.012309956168922642,0.004093380815557821,0.10064094485701026
7,0.0061258283956277535,0.007928893097400094,0.0025408652728684538,0.06727798546268787
8,0.0018865395803262944,0.0035253491519612263,0.00044191082239604043,0.030998060477031613
9,0.00039771974015643657,0.0013625583690544572,0.00013257324671881213,0.006255493197028391
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
