name,transitions,transversions,insertions,deletions
flat,0.018126402568989963,0.007697204721082431,2.967108290063004e-05,2.967108290063004e-05
all_polymers,0.013182267042942945,0.007204872318864835,0.0,0.0002811794298523698
post_all_polymer,0.02043704007096763,0.01000082507990973,0.0004328965112745959,0.00029692349488265514
AT_polymers,0.010947769183911002,0.0048616992054017405,0.0,0.00030795235673465875
post_AT_polymers,0.019058327046967024,0.007072295932498141,0.000355779700001898,0.00034147764591610795
GC_polymers,0.01595855063741105,0.01010240440183084,0.0,0.0003211126934482722
post_GC_polymers,0.019606923285312168,0.013912506880492533,0.0003596405406384752,0.0002735804616443816
"Repeat 3, 3",0.0011794727117044738,0.0003257739832367507,0.0,5.2843908154267975e-05
"Post_Repeat 3, 3",0.0014131970866398521,0.0009240134797260572,0.0,5.4353734101532776e-05
"Repeat 2, 3",0.005024582296328595,0.001752311837647202,0.0,0.00022647389208971987
"Post_Repeat 2, 3",0.005462550277204043,0.0015219045548429176,0.0,0.00010870746820306555
